Vietnam;Indonesia;Malaysia;Bulgaria;Australia
Solomon Islands;;Philippines;Hungary;Austria
;Sri Lanka;Fiji;Poland;Belgium
Bangladesh;;Albania;Romania;Denmark
;;Chile;Japan;Finland
India;Papua New Guinea;Uruguay;;France
Nepal;Vanuatu;Antigua and Barbuda;New Zealand;Germany
Central African Republic;Belize;Dominican Republic;Cyprus;Greece
Equatorial Guinea;Guyana;Grenada;Ireland;Iceland
Burundi;Haiti;Jamaica;Israel;Italy
Ethiopia;Honduras;Bolivia;Malta;Luxembourg
Malawi;Morocco;Ecuador;Portugal;Netherlands
Mozambique;Pakistan;Peru;Spain;Norway
Rwanda;Angola;Colombia;United Kingdom;Sweden
Tanzania;Comoros;Costa Rica;Argentina;Switzerland
Uganda;Kenya;El Salvador;Barbados;Canada
Lesotho;;Guatemala;Trinidad and Tobago;United States
Burkina Faso;Zambia;Panama;Mexico;Bahrain
Chad;;Paraguay;Brazil;Kuwait
Guinea-Bissau;Benin;Jordan;Algeria;
Mali;Cameroon;Tunisia;Lebanon;Qatar
Niger;Ghana;Turkey;;Saudi Arabia
Sierra Leone;Senegal;Mauritius;Seychelles;United Arab Emirates
Togo;Sudan;;Puerto Rico;Gabon
;Indonesia;Malaysia;;
Kiribati;Philippines;Maldives;Hungary;
Solomon Islands;Sri Lanka;Thailand;Romania;
Bangladesh;Papua New Guinea;Fiji;New Zealand;
;Tonga;Poland;Cyprus;
Nepal;Vanuatu;Chile;Finland;Finland
Central African Republic;Albania;Uruguay;Greece;
;Guyana;Belize;;Ireland
Burundi;;Dominican Republic;Israel;
Ethiopia;Bolivia;Grenada;Malta;
Madagascar;El Salvador;Jamaica;Portugal;
Malawi;Honduras;Ecuador;Spain;
Mozambique;Morocco;Peru;United Kingdom;United Kingdom
Rwanda;Bhutan;Colombia;Argentina;
Tanzania;Pakistan;Costa Rica;Antigua and Barbuda;
Uganda;Angola;Guatemala;Barbados;
Lesotho;Comoros;Panama;Trinidad and Tobago;
Burkina Faso;Kenya;Paraguay;Mexico;
Chad;Zambia;Jordan;;
Guinea-Bissau;;Lebanon;;
Mali;Cameroon;Tunisia;Turkey;
Niger;Ghana;Mauritius;Gabon;
Sierra Leone;Senegal;Botswana;Seychelles;
Togo;Sudan;;Puerto Rico;
Kiribati;Philippines;Indonesia;Malaysia;
Solomon Islands;Sri Lanka;Maldives;Hungary;Singapore
Haiti;Vietnam;Thailand;New Zealand;Australia
Bangladesh;Papua New Guinea;Fiji;Cyprus;Austria
Nepal;Tonga;Bulgaria;Finland;Belgium
Central African Republic;Vanuatu;Poland;Greece;Denmark
Burundi;Albania;Romania;Israel;France
Ethiopia;Guyana;Belize;Malta;Germany
Madagascar;Bolivia;Dominican Republic;Portugal;Iceland
Malawi;El Salvador;Grenada;Spain;Ireland
Mozambique;Guatemala;Jamaica;United Kingdom;
Rwanda;Honduras;Ecuador;Argentina;Luxembourg
Tanzania;Morocco;Peru;Chile;Netherlands
Uganda;Bhutan;Colombia;Uruguay;Norway
;India;Costa Rica;Antigua and Barbuda;Sweden
Lesotho;Pakistan;Panama;Barbados;Switzerland
Benin;Angola;Brazil;Trinidad and Tobago;Canada
Burkina Faso;;Paraguay;Mexico;United States
Chad;Comoros;Algeria;;Bahrain
Guinea-Bissau;Kenya;Jordan;Libya;Kuwait
Mali;Cameroon;Tunisia;Turkey;Oman
Niger;Ghana;Mauritius;Gabon;Qatar
Sierra Leone;Senegal;Botswana;Seychelles;Saudi Arabia
Togo;Sudan;;Puerto Rico;United Arab Emirates
Kiribati;Indonesia;Maldives;Malaysia;Singapore
Solomon Islands;Philippines;Thailand;Hungary;Australia
Vanuatu;Sri Lanka;Fiji;Poland;Austria
Haiti;Vietnam;Bulgaria;Japan;Belgium
Bangladesh;Papua New Guinea;Romania;New Zealand;Denmark
Nepal;Tonga;Uruguay;Cyprus;Finland
Central African Republic;Albania;Belize;Greece;France
Burundi;Guyana;Dominican Republic;Israel;Germany
Ethiopia;Bolivia;Grenada;Italy;Iceland
Madagascar;El Salvador;Jamaica;Malta;Ireland
Malawi;Guatemala;Ecuador;Portugal;Luxembourg
Mozambique;Honduras;Peru;Spain;Netherlands
Rwanda;Morocco;Colombia;Argentina;Norway
Tanzania;Bhutan;Costa Rica;Chile;Sweden
Uganda;India;Panama;Antigua and Barbuda;Switzerland
Lesotho;Pakistan;Brazil;Barbados;United Kingdom
Benin;Angola;Paraguay;Trinidad and Tobago;Canada
Burkina Faso;Comoros;Algeria;Mexico;United States
Chad;Kenya;Jordan;Libya;Bahrain
Guinea-Bissau;Zambia;Lebanon;Turkey;Kuwait
Mali;Cameroon;Tunisia;Equatorial Guinea;Oman
Niger;Ghana;Mauritius;Gabon;Qatar
Sierra Leone;Senegal;Botswana;Seychelles;Saudi Arabia
Togo;Sudan;;Puerto Rico;United Arab Emirates
